url,response,exception
instagram.com/p/C8DVezWtVdQ,Error: dictionary update sequence element #0 has length 1; 2 is required
instagram.com/p/C8DVey7tpYv,Error: dictionary update sequence element #0 has length 1; 2 is required
instagram.com/p/C8DVezxNWxG,Error: dictionary update sequence element #0 has length 1; 2 is required
instagram.com/p/C8DVeKgNp01,"{""reel_url"": ""https://www.instagram.com/p/C8DVeKgNp01"", ""classification"": ""others""}"
instagram.com/p/C7_8eWQveVp,"{""reel_url"": ""https://www.instagram.com/p/C7_8eWQveVp"", ""classification"": ""others""}"
instagram.com/p/C8JNgD7IPDx,"{""reel_url"": ""https://www.instagram.com/p/C8JNgD7IPDx"", ""fashion"": {""Kids Dresses"": {""colors"": [""White""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8JL51Gp4jL,"{""reel_url"": ""https://www.instagram.com/p/C8JL51Gp4jL"", ""brands"": [""handm""], ""verticals"": {""fashion"": {""Kids Swimwear"": {""colors"": [""Blue"", ""White""], ""patterns"": [], ""brands"": [""handm""]}}}, ""comment"": """", ""category_mix"": {""fashion"": [""Clothing""]}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8JLS5kuTIA,"{""reel_url"": ""https://www.instagram.com/p/C8JLS5kuTIA"", ""fashion"": {""Kids Jackets"": {""colors"": [""Pink""], ""patterns"": [], ""brands"": []}, ""Kids Caps"": {""colors"": [""Pink""], ""patterns"": [], ""brands"": []}, ""Kids Shoes"": {""colors"": [""Pink""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8JLOUatTLz,"{""reel_url"": ""https://www.instagram.com/p/C8JLOUatTLz"", ""fashion"": {""Kids Dresses"": {""colors"": [""Beige"", ""Peach"", ""Pink"", ""Mint""], ""patterns"": [""Floral""], ""brands"": []}, ""Kids Shoes"": {""colors"": [""Peach""], ""patterns"": [], ""brands"": []}, ""Kids Hair Accessories"": {""colors"": [""Peach"", ""Pink""], ""patterns"": [""Ombre""], ""brands"": []}, ""Kids Sunglasses"": {""colors"": [""Pink""], ""patterns"": [], ""brands"": []}}, ""comment"": ""\nPlease note that specific brand names are not identified from the image; thus, the \""brands\"" fields are left empty. The brand \""Zara\"" is mentioned in the caption, but without visible logos or distinctive brand marks on the products themselves, we cannot conclusively attribute the items in the image to \""Zara.\"""", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C7q9R9QoS1d,"{""reel_url"": ""https://www.instagram.com/p/C7q9R9QoS1d"", ""fashion"": {""Kids Dresses"": {""colors"": [""Black"", ""White""], ""patterns"": [""Polka""], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
instagram.com/p/C8JEJ6SxbEv,"{""reel_url"": ""https://www.instagram.com/p/C8JEJ6SxbEv"", ""fashion"": {""Kids T-shirts"": {""colors"": [""White""], ""patterns"": [""Floral""], ""brands"": []}, ""Kids Shorts"": {""colors"": [""White"", ""Beige""], ""patterns"": [""Floral""], ""brands"": []}, ""Kids Sunglasses"": {""colors"": [""Black""], ""patterns"": [], ""brands"": []}, ""Kids Bows"": {""colors"": [""Beige""], ""patterns"": [], ""brands"": []}}, ""comment"": """", ""category_mix"": {}, ""classification"": ""kids_clothes""}"
